Subfolder,total word ccaount,File Count,Average Words per file
אבני נזר,1609659,1454,1107.06
אגרות משה,2288379,1833,1248.43
דעת כהן,263564,242,1089.11
החידא,18336,8,2292.0
הר צבי,652306,722,903.47
זבחי צדק,80374,86,934.58
יביע אומר,3678311,842,4368.54
יחוה דעת,766665,444,1726.72
יחל ישראל,228665,91,2512.8
מנחת יצחק,2240956,1471,1523.42
מנחת שלמה,815487,231,3530.25
משפטי עוזיאל,635058,294,2160.06
נושא האפוד,128730,34,3786.18
עטרת פז,1297273,319,4066.69
ציץ אליעזר,1805450,815,2215.28
קול מבשר,386631,135,2863.93
רב פעלים,819726,519,1579.43
שבט הלוי,1169889,1553,753.31
שואל ונשאל,889833,1827,487.05
תורה לשמה,216614,524,413.39
